Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
The Horse Whisperer,"May 15, 1998",PG-13,3.2/5,168 minutes,Robert Redford,"Drama,Western,Romance",
Enemy of the State,"Nov 20, 1998",R,3.5/5,150 minutes,Tony Scott,"Action & Adventure,Mystery & Suspense",
Last Days of Disco,"May 29, 1998",R,3.3/5,112 minutes,Whit Stillman,"Art House & International,Comedy,Drama,Romance",
Next Stop Wonderland,"Aug 21, 1998",R,3.5/5,95 minutes,Brad Anderson,"Comedy,Drama,Romance",
Dark City,"Feb 27, 1998",R,3.6/5,101 minutes,Alex Proyas,"Horror,Mystery & Suspense,Science Fiction & Fantasy",
Bulworth,"May 22, 1998",R,3.1/5,107 minutes,Warren Beatty,"Comedy,Drama,Romance",
Buffalo '66,"Jun 26, 1998",R,3.8/5,110 minutes,Vincent Gallo,"Art House & International,Comedy,Drama","$2,365,931"
Rounders,"Sep 11, 1998",R,3.7/5,120 minutes,John Dahl,Drama,
Your Friends & Neighbors,"Aug 19, 1998",R,3.3/5,91 minutes,Neil LaBute,"Art House & International,Comedy,Drama",
Little Voice,"Dec 4, 1998",R,3.4/5,99 minutes,Mark Herman,"Art House & International,Comedy,Drama",
The Opposite of Sex,"May 29, 1998",R,3.1/5,101 minutes,Don Roos,Comedy,
Live Flesh (Carne trémula),"Jan 16, 1998",R,3.9/5,120 minutes,Pedro Almodóvar,"Art House & International,Drama",
He Got Game,"May 1, 1998",R,3.6/5,138 minutes,Spike Lee,Drama,
Slums of Beverly Hills,"Aug 14, 1998",R,3.3/5,92 minutes,Tamara Jenkins,"Art House & International,Comedy",
The Negotiator,"Jul 29, 1998",R,3.4/5,141 minutes,F. Gary Gray,"Action & Adventure,Mystery & Suspense",
Les Miserables,"May 1, 1998",PG-13,3.6/5,180 minutes,Bille August,"Drama,Special Interest",
The Prince of Egypt,"Dec 18, 1998",PG,3.2/5,93 minutes,"Brenda Chapman,Steve Hickner,Simon Wells,Stephen Hickner","Animation,Drama,Kids & Family,Musical & Performing Arts",
Waking Ned Devine,"Nov 20, 1998",PG,3.6/5,90 minutes,Kirk Jones,Comedy,
Beloved,"Oct 16, 1998",R,3.4/5,172 minutes,Jonathan Demme,"Drama,Horror",
The Big Lebowski,"Mar 6, 1998",R,4/5,118 minutes,Joel Coen,Comedy,
The Mask of Zorro,"Jul 17, 1998",PG-13,3.3/5,136 minutes,Martin Campbell,"Action & Adventure,Romance",
Happiness,"Oct 16, 1998",NR,3.9/5,134 minutes,Todd Solondz,"Comedy,Drama",
Primary Colors,"Mar 20, 1998",R,3.1/5,143 minutes,Mike Nichols,Comedy,
American History X,"Oct 30, 1998",R,4.2/5,118 minutes,Tony Kaye,Drama,
The Thin Red Line,"Dec 23, 1998",R,3.5/5,180 minutes,Terrence Malick,"Action & Adventure,Drama",
Mulan,"Jun 19, 1998",G,3.4/5,88 minutes,"Barry Cook,Tony Bancroft","Action & Adventure,Animation,Kids & Family",
There's Something About Mary,"Jul 15, 1998",R,3.3/5,118 minutes,"Bobby Farrelly,Peter Farrelly",Comedy,
Pi,,,3.8/5,,,,
The General,"Dec 18, 1998",R,3.8/5,124 minutes,John Boorman,Drama,
Pleasantville,"Oct 23, 1998",PG-13,3.3/5,125 minutes,Gary Ross,"Comedy,Drama,Science Fiction & Fantasy",
Hilary and Jackie,"Dec 30, 1998",R,3.7/5,120 minutes,Anand Tucker,Drama,
Elizabeth,"Nov 6, 1998",R,3.8/5,124 minutes,Shekhar Kapur,Drama,
Last Night,,,3.8/5,,,,
One True Thing,"Sep 18, 1998",R,3.5/5,128 minutes,Carl Franklin,Drama,
The Apostle,"Jan 30, 1998",PG-13,3.6/5,134 minutes,Robert Duvall,Drama,
The Parent Trap,"Jul 29, 1998",PG,3.1/5,127 minutes,"Charles Shyer,Nancy Meyers","Comedy,Kids & Family",
A Simple Plan,"Dec 4, 1998",R,3.5/5,121 minutes,Sam Raimi,"Drama,Mystery & Suspense",
Ever After: A Cinderella Story,"Jul 31, 1998",PG-13,3.5/5,120 minutes,Andy Tennant,"Drama,Romance",
A Bug's Life,"Nov 20, 1998",G,3.3/5,96 minutes,"John Lasseter,Andrew Stanton","Animation,Kids & Family,Science Fiction & Fantasy",
Rushmore,"Sep 17, 1998",R,3.8/5,93 minutes,Wes Anderson,Comedy,
Antz,"Oct 2, 1998",PG,3/5,83 minutes,"Eric Darnell,Tim Johnson","Animation,Comedy,Kids & Family,Science Fiction & Fantasy",
Cure,"Apr 25, 1998",NR,3.8/5,110 minutes,Kiyoshi Kurosawa,"Art House & International,Drama,Mystery & Suspense",
Shakespeare in Love,"Dec 25, 1998",R,3.4/5,122 minutes,John Madden,"Comedy,Romance",
The Dreamlife of Angels,,,3.9/5,,,,
Saving Private Ryan,"Jul 24, 1998",R,4/5,169 minutes,Steven Spielberg,"Action & Adventure,Drama",
Dr. T and the Women,"Oct 13, 2000",R,2.3/5,121 minutes,Robert Altman,"Comedy,Romance","$12,115,208"
Gods and Monsters,"Nov 4, 1998",R,3.7/5,120 minutes,Bill Condon,Drama,
Godzilla 2000,"Aug 18, 2000",PG,3.1/5,99 minutes,Takao Okawara,"Action & Adventure,Art House & International,Drama,Science Fiction & Fantasy","$9,372,833"
Mission: Impossible 2,"Dec 31, 2000",PG-13,3/5,123 minutes,John Woo,"Action & Adventure,Mystery & Suspense",
The Claim,"Dec 29, 2000",R,3.1/5,120 minutes,Michael Winterbottom,"Drama,Western,Romance",
Pitch Black,"Feb 18, 2000",R,3.5/5,108 minutes,David Twohy,"Horror,Science Fiction & Fantasy",
Out of Sight,"Jun 26, 1998",R,3.2/5,120 minutes,Steven Soderbergh,"Action & Adventure,Comedy,Drama,Mystery & Suspense,Romance",
Kikujiro,"Jan 26, 2000",PG-13,4.1/5,116 minutes,Takeshi Kitano,"Art House & International,Comedy,Drama",
Wonderland,,,3.7/5,,,,
Central Station (Central do Brasil),"Nov 20, 1998",R,4.2/5,110 minutes,Walter Salles,"Art House & International,Drama",
Alice et Martin,"Jul 21, 2000",R,3.4/5,130 minutes,André Téchiné,"Art House & International,Drama,Romance",
Return to Me,"Apr 7, 2000",PG,3.4/5,116 minutes,Bonnie Hunt,"Comedy,Drama,Romance",
Road Trip,"May 19, 2000",R,3.3/5,93 minutes,Todd Phillips,Comedy,
The Gift,"Dec 20, 2000",R,3.2/5,112 minutes,Sam Raimi,"Drama,Mystery & Suspense","$11,151,502"
Der Krieger und die Kaiserin (The Princess and the Warrior),"Jun 22, 2000",R,4/5,135 minutes,Tom Tykwer,"Action & Adventure,Art House & International,Drama,Romance",
Hamlet,"May 12, 2000",R,3/5,111 minutes,Michael Almereyda,"Drama,Mystery & Suspense,Romance",
Anywhere but Here,"Jun 1, 2000",PG-13,3/5,114 minutes,Wayne Wang,"Comedy,Drama",
The Tigger Movie,"Feb 11, 2000",G,3.2/5,77 minutes,Jun Falkenstein,"Animation,Kids & Family",
Bring It On,"Aug 25, 2000",PG-13,3.1/5,99 minutes,Peyton Reed,Comedy,"$67,905,760"
Chocolat,"Dec 15, 2000",PG-13,3.6/5,121 minutes,Lasse Hallstrom,"Comedy,Romance",
The Yards,"Oct 20, 2000",R,3.2/5,115 minutes,James Gray,Drama,
About Adam,"Jan 28, 2000",R,3/5,96 minutes,Gerard Stembridge,"Art House & International,Comedy,Drama",
Small Time Crooks,"May 19, 2000",PG,3.2/5,94 minutes,Woody Allen,"Comedy,Drama",
U-571,"Apr 21, 2000",PG-13,3.2/5,117 minutes,Jonathan Mostow,"Action & Adventure,Drama,Mystery & Suspense",
The Patriot,"Jun 28, 2000",R,3.6/5,168 minutes,Roland Emmerich,"Action & Adventure,Drama","$2,317,507"
Saving Grace,"Sep 1, 2000",R,3.8/5,95 minutes,Nigel Cole,"Comedy,Drama","$11,483,975"
Timecode,"Apr 28, 2000",R,3/5,97 minutes,Mike Figgis,"Comedy,Drama",
Dancer in the Dark,"Sep 23, 2000",R,4.1/5,137 minutes,Lars von Trier,"Drama,Musical & Performing Arts","$2,839,256"
Grateful Dawg,"Oct 14, 2000",PG-13,3.7/5,82 minutes,Gillian Grisman,"Documentary,Musical & Performing Arts",
Dinosaur,"May 19, 2000",PG,3/5,82 minutes,"Ralph Zondag,Eric Leighton","Action & Adventure,Animation,Kids & Family","$135,606,304"
Keeping the Faith,"Apr 14, 2000",PG-13,3/5,127 minutes,Edward Norton,"Comedy,Romance",
Shadow Magic,,,3.4/5,,,,
Charlie's Angels,"Nov 3, 2000",PG-13,2.9/5,98 minutes,McG,"Action & Adventure,Comedy","$124,420,707"
Shaft,"Jun 16, 2000",R,2.9/5,98 minutes,John Singleton,"Action & Adventure,Drama","$70,334,258"
American Psycho,"Apr 14, 2000",R,3.6/5,97 minutes,Mary Harron,"Comedy,Drama,Horror,Mystery & Suspense",
The Big Kahuna,"Apr 28, 2000",R,3.4/5,90 minutes,John Swanbeck,"Comedy,Drama",
Code Unknown (Code inconnu: Récit incomplet de divers voyages),,,3.7/5,,,,
Gangster No. 1,"Jan 1, 2000",R,3.6/5,103 minutes,Paul McGuigan,"Action & Adventure,Art House & International,Drama,Mystery & Suspense",
Boiler Room,"Feb 18, 2000",R,3.4/5,119 minutes,Ben Younger,"Drama,Mystery & Suspense",
Unbreakable,"Nov 22, 2000",PG-13,3.4/5,107 minutes,M. Night Shyamalan,"Drama,Mystery & Suspense,Science Fiction & Fantasy","$95,000,000"
Tigerland,"Oct 6, 2000",R,3.4/5,101 minutes,Joel Schumacher,"Action & Adventure,Drama",
My Dog Skip,"Mar 3, 2000",PG,3.1/5,95 minutes,Jay Russell,"Drama,Kids & Family",
Remember the Titans,"Sep 23, 2000",PG,3.9/5,113 minutes,Boaz Yakin,Drama,"$114,297,071"
Finding Forrester,"Dec 20, 2000",PG-13,3.5/5,136 minutes,Gus Van Sant,"Comedy,Drama","$51,370,406"
Mortal Kombat: Annihilation,"Nov 21, 1997",PG-13,2.5/5,94 minutes,John R. Leonetti,"Action & Adventure,Science Fiction & Fantasy",
Rugrats in Paris - The Movie,"Nov 17, 2000",G,2.8/5,85 minutes,"Stig Bergqvist,Paul Demeyer","Animation,Kids & Family",
Spawn,"Aug 1, 1997",PG-13,2.7/5,99 minutes,Mark A.Z. Dippé,"Action & Adventure,Animation,Horror,Mystery & Suspense,Science Fiction & Fantasy",
Jungle 2 Jungle,"Mar 7, 1997",PG,2.6/5,105 minutes,John Pasquin,"Comedy,Kids & Family",
Frequency,"Apr 28, 2000",PG-13,3.4/5,121 minutes,Gregory Hoblit,"Action & Adventure,Drama,Mystery & Suspense,Science Fiction & Fantasy",
Speed 2 - Cruise Control,"Jun 13, 1997",PG-13,2.2/5,125 minutes,Jan de Bont,"Action & Adventure,Mystery & Suspense",
The Saint,"Apr 4, 1997",PG-13,3.1/5,116 minutes,Phillip Noyce,"Action & Adventure,Romance",
Jingle All the Way,"Jun 1, 1997",PG,2.6/5,88 minutes,Brian Levant,"Comedy,Kids & Family",
Hard Rain,"Jun 1, 1997",R,2.7/5,96 minutes,Michael Salomon,Action & Adventure,
Sunshine,"Jun 9, 2000",R,3.7/5,180 minutes,István Szabó,"Classics,Drama",
Anaconda,"Apr 11, 1997",PG-13,2.5/5,89 minutes,Luis Llosa,"Action & Adventure,Horror,Mystery & Suspense",
Fathers' Day,"May 9, 1997",PG-13,2.5/5,102 minutes,Ivan Reitman,Comedy,
A Thousand Acres,"Sep 19, 1997",R,3/5,105 minutes,Jocelyn Moorhouse,Drama,
Gummo,"Oct 17, 1997",R,3.6/5,88 minutes,Harmony Korine,"Art House & International,Drama,Special Interest",
Batman & Robin,"Jun 20, 1997",PG-13,2.5/5,127 minutes,Joel Schumacher,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",
Absolute Power,"Feb 14, 1997",R,3.2/5,125 minutes,Clint Eastwood,"Action & Adventure,Mystery & Suspense",
Blues Brothers 2000,"Jun 1, 1997",PG-13,2.7/5,124 minutes,John Landis,"Comedy,Musical & Performing Arts",
I Know What You Did Last Summer,"Oct 17, 1997",R,2.8/5,101 minutes,Jim Gillespie,Horror,
The Legend of 1900 (La leggenda del pianista sull'oceano),"Oct 29, 1999",R,4.2/5,116 minutes,Giuseppe Tornatore,"Art House & International,Drama",
Austin Powers: The Spy Who Shagged Me,"Jun 11, 1999",PG-13,3.3/5,105 minutes,Jay Roach,"Comedy,Romance",
Conspiracy Theory,"Aug 8, 1997",R,3.2/5,135 minutes,Richard Donner,"Action & Adventure,Drama,Mystery & Suspense",
Fallen,"Jun 1, 1997",R,3.4/5,123 minutes,Gregory Hoblit,"Animation,Drama,Mystery & Suspense",
The Lost World - Jurassic Park,"May 23, 1997",PG-13,3.2/5,134 minutes,Steven Spielberg,"Action & Adventure,Horror,Science Fiction & Fantasy",
Event Horizon,"Aug 15, 1997",R,3.2/5,95 minutes,Paul W.S. Anderson,"Horror,Science Fiction & Fantasy",
Any Given Sunday,"Dec 22, 1999",R,3.3/5,165 minutes,Oliver Stone,"Action & Adventure,Drama",
Picture Perfect,"Aug 1, 1997",PG-13,2.7/5,105 minutes,Glenn Gordon Caron,"Comedy,Romance",
The Muse,"Aug 1, 1999",PG-13,2.6/5,97 minutes,Albert Brooks,"Comedy,Drama",
Volcano,"Apr 25, 1997",PG-13,2.7/5,102 minutes,Mick Jackson,"Action & Adventure,Drama,Mystery & Suspense",
Angela's Ashes,"Dec 25, 1999",R,3.6/5,145 minutes,Alan Parker,"Art House & International,Drama",
Summer of Sam,"Jul 2, 1999",R,3.1/5,142 minutes,Spike Lee,"Drama,Mystery & Suspense",
The World Is Not Enough,"Nov 19, 1999",PG-13,3/5,125 minutes,Michael Apted,"Action & Adventure,Mystery & Suspense",
True Crime,"Mar 19, 1999",R,3.2/5,127 minutes,Clint Eastwood,"Drama,Mystery & Suspense",
"Girl, Interrupted","Dec 21, 1999",R,3.5/5,127 minutes,James Mangold,Drama,
Never Been Kissed,"Apr 9, 1999",PG-13,3.3/5,107 minutes,Raja Gosnell,Comedy,
Blast From the Past,"Feb 12, 1999",PG-13,2.9/5,112 minutes,Hugh Wilson,"Comedy,Romance",
Mumford,"Sep 24, 1999",R,3.2/5,118 minutes,Lawrence Kasdan,"Comedy,Drama",
Cruel Intentions,"Mar 5, 1999",R,3.4/5,94 minutes,Roger Kumble,Drama,
The Wood,"Jul 16, 1999",R,3.9/5,106 minutes,Rick Famuyiwa,"Comedy,Drama",
Payback,"Feb 5, 1999",R,3.2/5,100 minutes,Brian Helgeland,"Action & Adventure,Drama,Mystery & Suspense",
Mystery Men,"Jul 22, 1999",PG-13,2.9/5,121 minutes,Kinka Usher,"Action & Adventure,Comedy,Science Fiction & Fantasy",
American Pie,"Jul 9, 1999",R,3.4/5,96 minutes,Paul Weitz,Comedy,
Arlington Road,"Jul 9, 1999",R,3.3/5,118 minutes,Mark Pellington,"Drama,Mystery & Suspense",
Star Wars: Episode I - The Phantom Menace,"May 9, 1999",PG,3.3/5,131 minutes,George Lucas,"Cult Movies,Kids & Family,Science Fiction & Fantasy","$431,000,000"
Music of the Heart,,,3.5/5,,,,
Ride With the Devil,"Nov 24, 1999",R,3.4/5,138 minutes,Ang Lee,"Action & Adventure,Drama,Romance",
EDtv,"Mar 26, 1999",PG-13,2.6/5,124 minutes,Ron Howard,Comedy,
Muppets From Space,"Jul 14, 1999",G,3/5,88 minutes,Tim Hill,"Comedy,Kids & Family,Science Fiction & Fantasy",
The Mummy,"Jun 1, 1999",PG-13,3.4/5,125 minutes,Stephen Sommers,"Action & Adventure,Horror,Mystery & Suspense",
A Map of the World,"Dec 3, 1999",R,3.2/5,125 minutes,Scott Elliott,Drama,
Cradle Will Rock,"Dec 8, 1999",R,3.4/5,133 minutes,Tim Robbins,Drama,
Titus,"Dec 24, 1999",R,3.7/5,162 minutes,Julie Taymor,Drama,
Deep Blue Sea,"Jul 28, 1999",R,2.8/5,100 minutes,Renny Harlin,"Action & Adventure,Drama,Horror,Mystery & Suspense,Science Fiction & Fantasy",
10 Things I Hate About You,"Mar 31, 1999",PG-13,3.3/5,97 minutes,Gil Junger,Comedy,
The Thomas Crown Affair,"Aug 6, 1999",R,3.3/5,114 minutes,John McTiernan,"Action & Adventure,Drama,Mystery & Suspense,Romance",
Stir of Echoes,"Sep 10, 1999",R,3.4/5,99 minutes,David Koepp,"Horror,Mystery & Suspense",
Stuart Little,"Dec 17, 1999",PG,2.9/5,85 minutes,Rob Minkoff,"Action & Adventure,Comedy,Kids & Family,Science Fiction & Fantasy",
The End of the Affair,"Dec 3, 1999",R,3.6/5,105 minutes,Neil Jordan,"Drama,Romance",
Analyze This,"Mar 5, 1999",R,3.1/5,110 minutes,Harold Ramis,Comedy,
Man on the Moon,"Dec 22, 1999",R,3.3/5,118 minutes,Milos Forman,"Comedy,Drama",
The Dinner Game (Le Dîner de cons),"Jul 16, 1999",PG-13,4.1/5,78 minutes,Francis Veber,"Art House & International,Comedy,Drama",
William Shakespeare's 'A Midsummer Night's Dream',"May 14, 1999",PG-13,3.1/5,116 minutes,Michael Hoffman,"Comedy,Drama,Science Fiction & Fantasy",
Bringing Out the Dead,,,3.2/5,,,,
Besieged,"May 21, 1999",R,3.7/5,94 minutes,Bernardo Bertolucci,"Art House & International,Drama,Romance",
Dick,"Aug 4, 1999",PG-13,2.8/5,94 minutes,Andrew Fleming,Comedy,
Existenz,"Apr 23, 1999",R,3.3/5,97 minutes,David Cronenberg,"Action & Adventure,Science Fiction & Fantasy",
The Red Violin (Le violon rouge),"Jun 11, 1999",R,3.9/5,130 minutes,François Girard,"Art House & International,Drama,Mystery & Suspense,Romance",
Sleepy Hollow,"Nov 19, 1999",R,3.5/5,105 minutes,Tim Burton,"Horror,Mystery & Suspense,Romance",
The Truman Show,"Jun 5, 1998",PG,3.5/5,103 minutes,Peter Weir,"Comedy,Drama",
Dogma,"Nov 12, 1999",R,3.6/5,128 minutes,Kevin Smith,Comedy,
The Cider House Rules,"Dec 10, 1999",PG-13,3.4/5,131 minutes,Lasse Hallstrom,Drama,
The Tao of Steve,"Aug 4, 2000",R,3.4/5,87 minutes,Jenniphr Goodman,"Art House & International,Comedy,Drama,Romance","$2,586,310"
The Best Man,"Oct 22, 1999",R,3.7/5,120 minutes,Malcolm D. Lee,"Comedy,Drama",
Keep the River on Your Right,"Apr 15, 2000",R,3.2/5,94 minutes,"David Shapiro,Laurie Gwen Shapiro,Laurie Shapiro","Documentary,Special Interest",
"O Brother, Where Art Thou?","Dec 22, 2000",PG-13,3.7/5,106 minutes,Joel Coen,"Comedy,Drama","$45,150,731"
Quills,"Nov 22, 2000",R,3.6/5,124 minutes,Philip Kaufman,Drama,"$4,284,664"
The Virgin Suicides,"Apr 21, 2000",R,3.5/5,97 minutes,Sofia Coppola,Drama,
Requiem for a Dream,"Oct 6, 2000",R,4.1/5,101 minutes,Darren Aronofsky,Drama,"$2,546,851"
Gladiator,"May 5, 2000",R,3.8/5,171 minutes,Ridley Scott,"Action & Adventure,Classics,Drama",
Shanghai Noon,"May 26, 2000",PG-13,3.2/5,110 minutes,Tom Dey,"Action & Adventure,Comedy,Western",
Space Cowboys,"Aug 4, 2000",PG-13,3/5,135 minutes,Clint Eastwood,"Action & Adventure,Comedy,Drama,Science Fiction & Fantasy",
The House of Mirth,,,3.5/5,,,,
Fantasia 2000,"Jun 16, 2000",G,3.4/5,90 minutes,"James Algar,Gaëtan Brizzi,Paul Brizzi,Hendel Butoy,Francis Glebas,Eric Goldberg,Don Hahn,Pixote Hunt","Animation,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy",
The Contender,"Oct 13, 2000",R,3.5/5,126 minutes,Rod Lurie,"Drama,Mystery & Suspense","$16,120,906"
The Vertical Ray of the Sun (Mua he chieu thang dung),"May 24, 2000",PG-13,4/5,112 minutes,Anh Hung Tran,"Art House & International,Drama",
Pollock,"Dec 15, 2000",R,3.5/5,123 minutes,Ed Harris,Drama,"$7,280,174"
Lakeboat,,,3.2/5,,,,
Love and Basketball,"Jan 26, 2000",PG-13,3.9/5,124 minutes,Gina Prince-Bythewood,"Drama,Romance",
Ghost Dog - The Way of the Samurai,"Mar 3, 2000",R,3.7/5,116 minutes,Jim Jarmusch,"Action & Adventure,Comedy,Drama",
Shadow of the Vampire,,,3.4/5,,,,
Wonder Boys,"Nov 8, 2000",R,3.5/5,112 minutes,Curtis Hanson,"Comedy,Drama",
Merci pour le chocolat,"Oct 25, 2000",PG,3.4/5,99 minutes,Claude Chabrol,"Art House & International,Drama,Mystery & Suspense",
Chuck & Buck,"Jul 14, 2000",R,3.2/5,95 minutes,Miguel Arteta,"Comedy,Drama",
The Original Kings of Comedy,"Aug 18, 2000",R,3.7/5,111 minutes,Spike Lee,"Comedy,Documentary","$37,680,981"
Nurse Betty,"Sep 8, 2000",R,2.7/5,108 minutes,Neil LaBute,"Comedy,Drama",
Billy Elliot,"Nov 3, 2000",R,3.5/5,110 minutes,Stephen Daldry,"Comedy,Drama,Musical & Performing Arts",
X-Men,"Jul 14, 2000",PG-13,3.7/5,104 minutes,Bryan Singer,"Action & Adventure,Science Fiction & Fantasy","$156,164,829"
Thirteen Days,"Dec 25, 2000",PG-13,3.5/5,145 minutes,Roger Donaldson,Drama,
Erin Brockovich,"Mar 17, 2000",R,3.5/5,131 minutes,Steven Soderbergh,"Comedy,Drama",
George Washington,,,4/5,,,,
State and Main,"Dec 22, 2000",R,3.3/5,105 minutes,David Mamet,Comedy,"$5,770,800"
Battle Royale,"Jan 1, 2000",NR,4.1/5,114 minutes,Kinji Fukasaku,"Action & Adventure,Art House & International,Drama,Mystery & Suspense",
Nico and Dani (Krámpack),,,3.5/5,,,,
Girlfight,"Sep 29, 2000",R,3.5/5,110 minutes,Karyn Kusama,"Drama,Sports & Fitness","$778,046"
Sexy Beast,"Apr 1, 2000",R,3.7/5,88 minutes,Jonathan Glazer,"Comedy,Drama,Mystery & Suspense","$5,972,627"
Exorcist: The Version You've Never Seen,,,4.2/5,,,,
Meet the Parents,"Oct 6, 2000",PG-13,3.6/5,108 minutes,Jay Roach,Comedy,"$164,454,835"
Chunhyangdyun,,,3.6/5,,,,
The Emperor's New Groove,"Dec 15, 2000",G,3.4/5,79 minutes,Mark Dindal,"Animation,Kids & Family,Science Fiction & Fantasy","$87,320,505"
Cast Away,"Dec 22, 2000",PG-13,3.5/5,143 minutes,Robert Zemeckis,"Action & Adventure,Drama",
Aimée & Jaguar,,,4/5,,,,
Almost Famous,"Sep 15, 2000",R,3.7/5,123 minutes,Cameron Crowe,"Comedy,Drama","$31,716,715"
The Filth and the Fury,,,3.9/5,,,,
The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),"Oct 21, 2000",R,3.6/5,112 minutes,Patrice Leconte,"Art House & International,Drama",
Not One Less,"Feb 18, 2000",G,4/5,106 minutes,Yimou Zhang,"Comedy,Drama",
Croupier,"Apr 21, 2000",R,3.7/5,91 minutes,Mike Hodges,"Drama,Mystery & Suspense",
Memento,"Sep 5, 2000",R,4.1/5,116 minutes,Christopher Nolan,"Drama,Mystery & Suspense","$23,844,220"
Con Air,"Jun 6, 1997",R,3.4/5,115 minutes,Simon West,Action & Adventure,
Dark Days,,,4/5,,,,
Another Day in Paradise,"Dec 30, 1997",R,3.2/5,101 minutes,Larry Clark,Drama,
Alien Resurrection,"Nov 26, 1997",R,3/5,108 minutes,,"Horror,Science Fiction & Fantasy",
Best in Show,"Sep 29, 2000",PG-13,3.7/5,91 minutes,Christopher Guest,Comedy,"$16,574,225"
Panic,,,3.3/5,,,,
High Fidelity,"Mar 31, 2000",R,3.7/5,113 minutes,Stephen Frears,"Comedy,Drama",
The Gingerbread Man,"Jun 1, 1997",R,2.8/5,115 minutes,Robert Altman,"Drama,Mystery & Suspense",
U-Turn,"Oct 3, 1997",R,3.1/5,121 minutes,Oliver Stone,"Action & Adventure,Comedy,Drama,Mystery & Suspense",
Lost Highway,"Feb 21, 1997",R,3.8/5,135 minutes,David Lynch,"Drama,Horror,Mystery & Suspense",
Tomorrow Never Dies,"Dec 19, 1997",PG-13,3.1/5,120 minutes,Roger Spottiswoode,"Action & Adventure,Drama,Mystery & Suspense",
George of the Jungle,"Jul 16, 1997",PG,2.8/5,91 minutes,Sam Weisman,"Action & Adventure,Comedy,Kids & Family",
Starship Troopers,"Nov 7, 1997",R,3.1/5,129 minutes,Paul Verhoeven,"Action & Adventure,Cult Movies,Science Fiction & Fantasy",
Traffic,"Dec 27, 2000",R,3.6/5,147 minutes,Steven Soderbergh,Drama,"$123,836,420"
Dream with the Fishes,,,3.7/5,,,,
The Edge,"Sep 26, 1997",R,3.2/5,117 minutes,Lee Tamahori,"Action & Adventure,Mystery & Suspense",
Zero Effect,"Jun 1, 1997",R,3.5/5,115 minutes,Jake Kasdan,"Art House & International,Comedy,Drama,Mystery & Suspense",
She's So Lovely,"Aug 29, 1997",R,3.2/5,97 minutes,Nick Cassavetes,"Comedy,Drama,Romance",
Austin Powers: International Man of Mystery,"May 2, 1997",PG-13,3.4/5,90 minutes,Jay Roach,"Action & Adventure,Comedy,Mystery & Suspense",
The Fifth Element,"May 9, 1997",PG-13,3.7/5,126 minutes,Luc Besson,"Drama,Science Fiction & Fantasy",
In & Out,"Sep 19, 1997",PG-13,2.9/5,90 minutes,Frank Oz,Comedy,
Romy and Michele's High School Reunion,"Apr 25, 1997",R,2.8/5,91 minutes,David Mirkin,Comedy,
The Devil's Advocate,"Oct 17, 1997",R,3.4/5,130 minutes,Taylor Hackford,"Action & Adventure,Drama,Horror,Mystery & Suspense",
The Pillow Book,"Jun 6, 1997",NC17,3.8/5,123 minutes,Peter Greenaway,"Art House & International,Cult Movies,Drama,Special Interest",
Air Force One,"Jul 25, 1997",R,3.2/5,124 minutes,Wolfgang Petersen,"Action & Adventure,Drama,Mystery & Suspense",
Contact,"Jul 11, 1997",PG,3.2/5,150 minutes,Robert Zemeckis,"Mystery & Suspense,Science Fiction & Fantasy",
My Best Friend's Wedding,"Jun 20, 1997",PG-13,3.3/5,105 minutes,P.J. Hogan,"Comedy,Romance",
Cop Land,"Aug 15, 1997",R,3.1/5,105 minutes,James Mangold,"Action & Adventure,Drama,Mystery & Suspense",
The Butcher Boy,,,3.7/5,,,,
Kundun,"Dec 25, 1997",PG-13,3.7/5,134 minutes,Martin Scorsese,"Classics,Drama",
The Game,"Sep 12, 1997",R,3.6/5,128 minutes,David Fincher,Mystery & Suspense,
Selena,"Mar 21, 1997",PG,3.2/5,135 minutes,Gregory Nava,Drama,
Private Parts,"Mar 7, 1997",R,2.9/5,109 minutes,Betty Thomas,"Comedy,Drama",
The Boxer,"Dec 31, 1997",R,3.5/5,114 minutes,Jim Sheridan,"Drama,Sports & Fitness",
Liar Liar,"Jun 1, 1997",PG-13,3.4/5,87 minutes,Tom Shadyac,Comedy,
Soul Food,"Sep 26, 1997",R,3.6/5,114 minutes,George Tillman Jr.,"Comedy,Drama",
Amistad,"Dec 12, 1997",R,3.5/5,155 minutes,Steven Spielberg,"Drama,Mystery & Suspense",
Gattaca,"Oct 24, 1997",PG-13,3.5/5,106 minutes,Andrew Niccol,"Drama,Science Fiction & Fantasy",
Grosse Pointe Blank,"Apr 11, 1997",R,3.7/5,107 minutes,George Armitage,"Action & Adventure,Comedy,Drama,Mystery & Suspense",
Breakdown,"May 2, 1997",R,3.1/5,94 minutes,Jonathan Mostow,"Action & Adventure,Drama,Mystery & Suspense",
Rosewood,"Feb 21, 1997",R,3.7/5,122 minutes,John Singleton,"Action & Adventure,Drama",
Hercules,"Jun 15, 1997",G,3.3/5,93 minutes,"John Musker,Ron Clements","Animation,Kids & Family,Science Fiction & Fantasy",
The Ice Storm,"Sep 26, 1997",R,3.6/5,113 minutes,Ang Lee,Drama,
